"time","Clear","Red","Green","Blue","IR","PAR","Solar"
2023-11-16 00:13:27,"0.024397","0.003811","0.012821","0.016544","0.000625",0.0,-0.08304
2023-11-16 00:28:37,"0.035636","0.005716","0.014022","0.005055","0.001250",0.0,-0.07168000000000001
2023-11-16 00:43:44,"0.010965","0.007622","0.027644","0.017923","0.001250",0.0,-0.06368
2023-11-16 00:58:51,"0.032072","0.009527","0.032051","0.015625","0.001250",0.0,-0.06832
2023-11-16 01:14:03,"0.046601","0.010671","0.024038","0.008272","0.002500",1.9536000000000002,-0.07056
2023-11-16 01:29:11,"0.023849","0.008765","0.024439","0.021599","0.001250",0.0,-0.06256
2023-11-16 01:44:19,"0.028783","0.008003","0.027244","0.011489","0.001250",0.0,-0.06368
2023-11-16 01:59:27,"0.035088","0.005716","0.018029","0.006434","0.001250",0.0,-0.07856
2023-11-16 02:14:39,"0.028783","0.005716","0.020032","0.007813","0.001250",0.0,-0.0752
2023-11-16 02:29:52,"0.032895","0.004954","0.009215","0.011489","0.001250",0.0,-0.07744000000000001
2023-11-16 02:45:06,"0.017270","0.004573","0.092147","0.013327","0.001250",0.0,-0.08992
2023-11-16 03:00:13,"0.027138","0.005335","0.022436","0.007813","0.000625",0.0,-0.07632
2023-11-16 03:15:27,"0.017544","0.004192","0.027244","0.014706","0.001250",0.0,-0.08080000000000001
2023-11-16 03:30:40,"0.016721","0.003049","0.015625","0.018382","0.000625",0.0,-0.08304
2023-11-16 03:45:52,"0.016721","0.003811","0.022837","0.011489","0.000625",0.0,-0.08416000000000001
2023-11-16 04:01:04,"0.029879","0.003049","0.006010","0.010110","0.001250",1.9536000000000002,-0.06944
2023-11-16 04:16:16,"0.021107","0.004192","0.023638","0.021140","0.001250",0.0,-0.06480000000000001
2023-11-16 04:31:30,"0.017818","0.004192","0.019231","0.020221","0.001250",0.0,-0.07056
2023-11-16 04:46:44,"0.033443","0.007622","0.015625","0.015165","0.001250",0.0,-0.05584
2023-11-16 05:01:52,"0.018914","0.008384","0.033253","0.019301","0.001875",0.0,-0.0728
2023-11-16 05:17:04,"0.032346","0.007622","0.025240","0.011489","0.000625",0.0,-0.06032
2023-11-16 05:32:18,"0.023849","0.006860","0.027244","0.012868","0.001875",0.0,-0.06256
2023-11-16 05:47:30,"0.023849","0.005716","0.020433","0.032629","0.001875",3.9056,-0.0752
2023-11-16 06:02:37,"0.022204","0.008765","0.028846","0.023897","0.003125",0.0,-0.06032
2023-11-16 06:17:49,"0.023575","0.009909","0.032051","0.025276","0.006250",0.0,-0.08544000000000002
2023-11-16 06:33:00,"0.106086","0.023247","0.062500","0.090993","0.039375",0.0,-0.08080000000000001
2023-11-16 06:48:07,"1.929550","0.388719","0.995994","1.551471","0.579375",0.0,0.061439999999999995
2023-11-16 07:03:19,"27.696819","6.205030","15.068911","20.406250","7.902500",0.0,1.8872
2023-11-16 07:18:33,"127.684212","28.783537","70.387817","92.033089","30.145000",23.436799999999998,7.43248
2023-11-16 07:33:45,"377.552643","106.902435","225.102570","240.838242","159.399994",39.062400000000004,30.3833584
2023-11-16 07:48:53,"629.684204","168.292679","373.128204","406.558838","203.960007",80.0784,41.08144
2023-11-16 08:04:05,"1642.070190","567.609741","1051.589722","836.470581","1152.959961",156.24960000000002,154.89216320000003
2023-11-16 08:19:17,"2864.368408","1023.658508","1858.000000","1486.500000","2370.959961",257.8128,235.1724848
2023-11-16 08:34:29,"3032.631592","1002.585388","1984.538452","1683.264648","2054.040039",333.98400000000004,292.93327680000004
2023-11-16 08:49:37,"3514.736816","1128.146362","2292.153809","1896.000000","2367.360107",398.4368,344.12993120000004
2023-11-16 09:04:45,"3589.263184","1090.390259","2273.384521","1893.705933","2089.199951",470.70239999999995,400.8252688
2023-11-16 09:19:53,"6192.842285","2157.365967","4472.307617","3407.294189","4489.919922",546.8752000000001,469.54238240000006
2023-11-16 09:35:08,"5344.842285","1568.780518","3328.923096","2808.353027","3015.360107",650.3904,548.5865728
2023-11-16 09:50:16,"7154.947266","2352.000000","4847.692383","3802.941162","3324.959961",738.2816,622.6681648
2023-11-16 10:05:25,"7009.052734","2253.658447","4470.461426","3770.823486","2637.600098",761.7184,655.8572752
2023-11-16 10:20:34,"6984.210449","2241.073242","4686.153809","3745.411865","3033.120117",787.1088,686.7859376000001
2023-11-16 10:35:45,"5266.315918","1680.000000","3466.153809","2861.646973","2425.439941",544.9216,425.8853024
2023-11-16 10:50:57,"4690.315918","1506.146362","2994.923096","2551.058838","2249.040039",498.04639999999995,373.7996832
2023-11-16 11:06:09,"3449.210449","1106.121948","2247.384521","2021.735352","1695.479980",365.2336,308.4539312
2023-11-16 11:21:18,"10145.894531","3309.658447","6557.230957","5628.706055","5529.120117",1013.672,855.5073248000001
2023-11-16 11:36:31,"9148.000000","3103.317139","5973.538574","4759.411621","4816.319824",830.0784,720.3846192000001
2023-11-16 11:51:42,"6382.315918","2152.682861","4292.922852","3592.941162","3410.399902",634.7664,569.5923344
2023-11-16 12:06:52,"3101.842041","1021.829285","2002.153809","1747.764648","1517.880005",341.7968,267.7172848
2023-11-16 12:22:07,"3717.894775","1197.658569","2387.076904","2074.588135","1797.119995",406.24960000000004,295.3291264
2023-11-16 12:37:18,"7185.473633","2430.146240","4849.538574","3943.058838","3997.919922",783.2032,685.9230464000001
2023-11-16 12:52:26,"6550.947266","2187.804932","4361.846191","3635.646973","3416.159912",705.0784,572.1441408
2023-11-16 13:07:34,"4502.105469","1454.634155","2916.615479","2505.882324","2276.879883",488.2816,423.89902400000005
2023-11-16 13:22:34,"6644.631348","2189.561035","4299.384766","3555.529297","3471.360107",744.1408,607.0121584000001
2023-11-16 13:37:34,"5558.315918","1843.609741","3618.153809","3002.470703","2989.919922",615.2336,529.9666992000001
2023-11-16 13:52:46,"3949.263184","1262.926880","2525.230713","2177.117676","1935.359985",443.36,349.0310304
2023-11-16 14:08:00,"3033.842041","997.097534","1966.923096","1695.794067","1460.760010",332.03200000000004,260.679688
2023-11-16 14:23:12,"1310.070190","434.390259","838.615356","740.352966","612.320007",134.7664,117.4871952
